car	0	28.42533429189089	19.301442411438032	172.4869810296525	88.98020980262379
car	1	118.32411504787402	6.461000238257824	44.08197841767036	297.5884977186552
car	2	118.3241150478734	1.1876401969125494	34.904266336796915	302.535170342737
car	3	298.7487526728503	5.564227471718032	355.5447255169387	133.38541297754338
car	4	299.2079984819022	0.2546050601026509	362.6465522195748	129.46094507490437
car	70	208.48987407222964	9.593898282494502	236.8122454721981	213.32826516629535
car	71	28.116730345182752	13.484787694836486	149.35333964881556	45.839989767543074
car	72	118.32411504787402	11.59736116834162	64.6369578908332	286.50961952412587
car	73	28.11673034518279	8.496235201535448	135.45948890066884	19.837396532414726
car	74	298.5412751519905	13.892334486910284	296.88984068254706	165.28714924748985
car	75	298.5412751519905	12.351644042544608	327.8243635164386	148.4622080363734
person	pf_1.0	29.895968557528	1.1004889924573815	222.03338535149308	207.9857342680613
person	pf_1.1	29.906549936956093	1.3938158187178777	221.23908034148786	207.88830256325667
person	pf_1.2	29.906549936956093	1.6627886169576342	219.28570554372132	205.7758060946436
